Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4
M130,2,181,23402,9409,9409,181,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X078,11,176,21989,21989,1197,181,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q134,29,177,18230,14860,14860,120,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X140,8,181,28518,7822,7822,181,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M140,1,182,19513,17729,17729,61,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X146,8,179,22500,15749,15749,76,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X111,11,169,23492,23492,532,179,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q146,27,180,19913,7199,7101,61,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K149,19,179,18281,4908,4908,144,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X015,10,181,24552,36527,36527,120,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K150,23,178,13347,7230,7230,92,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X047,12,191,20359,20359,13182,179,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X153,11,178,18900,11745,11745,177,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q154,25,181,19211,23027,23027,104,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K155,23,177,24300,8244,8244,76,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X157,7,178,20982,1812,1812,147,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X134,12,195,22176,22176,9519,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K158,19,179,17660,4329,4329,145,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K016,14,180,23593,10359,10359,159,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q721,24,177,30291,12418,12418,79,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X161,7,178,16184,38160,38160,92,13.754056406798039,1.6539332961386823,-0.4304941830801343,-1.0500668669955386
X150,12,173,21545,21545,8699,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K164,20,181,16961,25965,25965,104,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q164,25,180,26043,18420,18420,175,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M171,4,176,23895,4799,4799,55,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X175,11,180,17775,23758,23758,175,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K249,17,192,21178,21178,11671,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K179,20,181,18616,10611,10611,170,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X182,8,181,16307,7864,7864,175,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K184,23,177,22338,7970,7970,84,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
