Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,PC1,PC2,PC3,PC4
Q234,30,154,175017,231178,224443,-2.7090225543876842,-2.365407194816879,-0.41418037613740233,-0.6343873265115566
X235,9,153,299610,297020,297020,-2.734668262031247,-2.418521869839679,-0.1669187686483477,-0.65396533289623
K500,18,257,1059470,453969,453969,-3.835614908207648,-2.9464147524626627,-0.9159871339929528,-0.5629290677503253
Q019,24,155,488781,445368,335560,-3.9697391769583477,-2.6459215160375864,0.31199117092542705,-0.4875793402125772
Q425,25,123,12325,26780,1319,-11.658997628030733,1.2738178001444316,1.2207242362425574,-1.2249575692104702
R029,31,126,6627,6627,22928,-0.6608420238560312,0.4324433367221866,0.7747904899376087,0.3828672788719754
Q131,29,139,733051,646606,553179,-4.713499987143583,-0.4712555051996627,0.1440982774010952,-0.24490756026608437
Q145,30,152,509820,345117,338554,-12.552012769838333,3.251422720821238,-2.1575789751008205,1.0334903776348479
Q025,25,159,398750,580981,501912,-12.552012769838333,3.251422720821238,-2.1575789751008205,1.0334903776348479
Q018,26,153,321000,357891,303058,-12.552012769838333,3.251422720821238,-2.1575789751008205,1.0334903776348479
Q026,26,211,433020,239026,226111,-12.552012769838333,3.251422720821238,-2.1575789751008205,1.0334903776348479
Q037,29,154,617025,584541,572580,-12.552012769838333,3.251422720821238,-2.1575789751008205,1.0334903776348479
Q177,26,153,480196,554257,549191,-12.552012769838333,3.251422720821238,-2.1575789751008205,1.0334903776348479
X149,7,154,378200,471846,449118,-11.508701316573887,3.051862916051575,-1.8300239393901145,0.7079624990446295
M054,3,154,403680,430519,415270,-12.552012840826388,3.2514227780961864,-2.157578884343959,1.0334902846918164
K050,14,156,397000,346905,331656,-12.552012840826388,3.2514227780961864,-2.157578884343959,1.0334902846918164
Q079,25,183,393600,329912,285767,-12.552012840826386,3.251422778096188,-2.1575788843439585,1.0334902846918155
Q088,24,136,87340,111596,111596,-8.882171092606864,0.5030357765056173,-0.7178387977501924,0.1579826275707844
K274,32,124,76093,125092,106898,3.1338661892310533,-1.0937846750444693,0.6435403010835535,0.35735050738835267
K834,15,169,56505,62222,43942,-16.072355473037035,0.6050326804856471,0.5101558283413443,-1.7430295548205912
Q452,30,159,67278,18632,18632,-2.230517675127168,-0.4066610097844342,0.911962683024651,1.0974197387740954
R880,31,154,112250,81245,71982,-5.854022769126804,1.9579073938142226,-0.18868502751591534,1.3931883764880926
Q220,28,185,269594,431865,343766,-3.4892444407547516,0.5929185654732441,1.0341318393066343,1.3170757305088623
Q462,25,154,45329,90862,72646,-9.94924695583509,0.18213478143292497,2.5237389452294434,-0.12216055326597686
Q851,29,154,76605,67890,48796,-9.94924695583509,0.18213478143292497,2.5237389452294434,-0.12216055326597686
Q139,28,159,321800,409279,318832,2.6676863267282385,0.12264550617415787,0.654985545490953,1.0034136758544105
M093,6,156,111889,107297,98454,-2.862895889103153,-2.6840947958323906,1.0693887165544522,-0.7518554920026811
Q105,27,154,224250,328382,288862,-4.45297108659633,-2.801685733538201,-0.6040796854738033,-0.7140910636104584
Q268,29,159,117036,117483,109872,-4.45297108659633,-2.801685733538201,-0.6040796854738033,-0.7140910636104584
K081,16,157,296459,147712,62623,-2.8848923992866795,-2.2261057425237385,0.17003935839142903,-0.7628696988974948
X155,7,235,679460,243755,243755,-3.8356149407453817,-2.946414765472415,-0.9159872433530458,-0.5629290947873279
M025,1,152,586080,583102,537959,-4.700646844784708,-0.8445623298781423,-0.6042864352057495,0.2754070164504831
M163,3,247,1012328,404083,404083,-3.3529692780972162,-2.340599819969413,0.10239729859665939,-0.6464615880575114
Q158,26,154,896473,386018,202529,-2.7346679883232987,-2.4185218595092826,-0.16691887832889937,-0.6539652889745965
Q058,24,155,286603,355464,348592,-2.4232210141676975,-3.03234817567178,-0.3911605111593872,-0.43064934361338353
Q067,26,154,485315,458655,379712,-3.835614908207648,-2.9464147524626627,-0.9159871339929528,-0.5629290677503253
Q166,30,234,655614,329066,329066,-3.835614908207648,-2.9464147524626627,-0.9159871339929528,-0.5629290677503253
K277,22,154,237607,289469,277125,-3.835614908207648,-2.9464147524626627,-0.9159871339929528,-0.5629290677503253
K320,17,155,636400,331974,331974,-3.835614908207648,-2.9464147524626627,-0.9159871339929528,-0.5629290677503253
Q122,30,154,588650,461253,367601,-2.734668214925598,-2.418521785981647,-0.16691877838188918,-0.6539652566403245
K228,21,241,1195757,381481,381481,-3.3529693516451484,-2.3405998409994053,0.10239746542298478,-0.6464616144822206
K332,23,195,686840,480613,480613,-1.6680187645026987,-1.19401979734761,-0.25503036746052976,-0.07858121514078303
Q216,26,141,1032001,656358,651217,-4.4810470565699045,-2.731745402861197,-0.38913092668641064,-0.5706311344089418
K249,17,153,462806,390853,347640,-4.4810470565699045,-2.731745402861197,-0.38913092668641064,-0.5706311344089418
Q062,27,155,547485,398724,308653,-4.4810470565699045,-2.731745402861197,-0.38913092668641064,-0.5706311344089418
M134,1,150,1486620,808561,771823,-4.481046965994107,-2.7317454315592027,-0.3891308590908803,-0.5706310509837383
K062,20,258,1094151,501186,501186,-3.352969272481511,-2.340599804619402,0.10239742902319825,-0.6464615933098706
K111,32,155,408683,430909,317537,-5.105422383890136,-2.569531304107831,-0.023486030862436478,-0.6859281101239362
Q089,24,155,568834,319390,303878,-3.581206276386416,-2.1672661559090227,0.42808182653581167,-0.7359646924299009
K128,21,185,59900,130004,130004,-7.705156910392675,1.7840511745699514,-0.38152270390746035,0.8887157476840816
K027,15,182,48060,57187,57187,-7.705156910392675,1.7840511745699514,-0.38152270390746035,0.8887157476840816
Q430,26,189,148068,207239,207049,-2.8781436481796345,1.807527891624304,1.0651019120774285,0.6622690591066881
Q470,28,122,161730,179559,166637,-9.172372584782016,1.1287322542435017,-0.5339447568304913,0.20415404862934056
Q485,24,184,115470,150444,137996,-7.428380078315845,1.291652635750112,-0.7252275912067768,0.8428946411802675
K435,19,136,83405,117356,73329,-13.168751994900314,1.5179562600447094,-0.6693736379486428,-0.18757548241387456
Q206,28,139,108623,139793,69424,7.05238003946064,-0.4143368703356801,0.34489891922756605,0.7944489676132287
X053,9,168,149750,130820,109247,4.455354945526963,0.15051854520385388,-0.24534974182475622,0.8714167619887822
X119,8,155,623380,391037,391037,3.42469352979583,-1.381580286325712,-0.12404602814266305,0.886076392265096
K410,21,124,975558,443445,393763,-5.880509746576796,0.09083801498700232,-0.41107993187995884,1.406694054534248
K209,21,139,139700,160627,120869,-6.609270423347377,-0.9881594467132769,-1.488777367658902,-0.4668048205935244
X650,8,138,236040,432892,432892,-6.609270423347377,-0.9881594467132769,-1.488777367658902,-0.4668048205935244
K243,16,155,59284,59284,48206,4.585531850689349,-0.7714730074196585,0.48193316350237425,3.1379540779958606
X002,9,153,39600,52900,41175,-6.768038766972811,0.9722257049267765,0.9478898893032266,0.9641089560645612
K324,16,152,55361,85939,71160,-6.768038766972811,0.9722257049267765,0.9478898893032266,0.9641089560645612
K302,19,152,52650,92180,78074,-6.768038766972811,0.9722257049267765,0.9478898893032266,0.9641089560645612
M152,6,153,47852,57518,45646,-6.768038766972811,0.9722257049267765,0.9478898893032266,0.9641089560645612
X047,12,184,31680,38449,34424,-6.768038766972811,0.9722257049267765,0.9478898893032266,0.9641089560645612
K660,19,153,75500,105064,85143,-6.768038766972811,0.9722257049267765,0.9478898893032266,0.9641089560645612
K345,19,83,380332,300305,296735,-6.338923235380092,-0.8349421986007434,0.10743785100337347,0.10138389544056939
Q440,28,154,61650,51130,51130,3.377935499314065,0.41283416647724447,1.0919342677288637,1.9574465774718128
Q134,29,171,1266898,829120,740158,-3.467431521141658,-0.4441883432949119,0.010096249078274238,-0.06391562482916856
M123,5,242,431183,172913,172913,-5.852930914041861,-2.5313434760912426,-0.38777762778759667,-0.6639524139991198
R831,31,155,294850,297132,277317,-4.962835841366663,-2.278581472529577,1.393841625880768,-0.6766473838164114
